--------- beginning of main
11-27 09:16:38.370 14678 14678 D AndroidRuntime: >>>>>> START com.android.internal.os.RuntimeInit uid 10448 <<<<<<
11-27 09:16:38.373 14678 14678 I app_process: MMAP_TRYLOCK is supported in uffd errno:2 addr:0x7211472000 size:4096
11-27 09:16:38.374 14678 14678 I AndroidRuntime: Using default boot image
11-27 09:16:38.374 14678 14678 I AndroidRuntime: Leaving lock profiling enabled
11-27 09:16:38.374 14678 14678 W libc    : Access denied finding property "odsign.verification.success"
11-27 09:16:38.376 14678 14678 W app_process: ART APEX data files are untrusted.
11-27 09:16:38.376 14678 14678 I app_process: Using CollectorTypeCMC GC.
11-27 09:16:38.376 14678 14678 E app_process: Error reading named image component header for /system/framework/boot.art, error: Failed to open oat file '/system/framework/arm64/boot.oat' when validating it for image '/system/framework/boot.art': In oat file '/system/framework/boot.oat': dex file checksum 0x67325180 does not match checksum 0xabfbc90c of external dex file '/apex/com.android.art/javalib/core-oj.jar'
11-27 09:16:38.376 14678 14678 E app_process: Could not create image space with image file '/system/framework/boot.art!/apex/com.android.art/etc/boot-image.prof!/system/etc/boot-image.prof:/system/framework/boot-framework-adservices.art'. Attempting to fall back to imageless running. Error was: Failed to open oat file '/system/framework/arm64/boot.oat' when validating it for image '/system/framework/boot.art': In oat file '/system/framework/boot.oat': dex file checksum 0x67325180 does not match checksum 0xabfbc90c of external dex file '/apex/com.android.art/javalib/core-oj.jar'
11-27 09:16:38.594 14678 14678 D nativeloader: InitDefaultPublicLibraries for_preload=1: libandroid.so:libaaudio.so:libamidi.so:libbinder_ndk.so:libc.so:libcamera2ndk.so:libdl.so:libEGL.so:libGLESv1_CM.so:libGLESv2.so:libGLESv3.so:libicu.so:libicui18n.so:libicuuc.so:libjnigraphics.so:liblog.so:libmediandk.so:libm.so:libnativehelper.so:libnativewindow.so:libOpenMAXAL.so:libOpenSLES.so:libRS.so:libstdc++.so:libsync.so:libvulkan.so:libwebviewchromium_plat_support.so:libz.so
11-27 09:16:38.603 14678 14678 D nativeloader: Load libicu_jni.so using APEX ns com_android_art for caller /apex/com.android.art/javalib/core-oj.jar: ok
11-27 09:16:38.604 14678 14678 D app_process: u_setTimeZoneFilesDirectory("/apex/com.android.tzdata/etc/tz/versioned/9/icu") succeeded. 
11-27 09:16:38.604 14678 14678 D app_process: I18n APEX ICU file found: /apex/com.android.i18n/etc/icu/icudt76l.dat
11-27 09:16:38.604 14678 14678 D nativeloader: Load libjavacore.so using APEX ns com_android_art for caller /apex/com.android.art/javalib/core-oj.jar: ok
11-27 09:16:38.605 14678 14678 D nativeloader: Load libopenjdk.so using APEX ns com_android_art for caller /apex/com.android.art/javalib/core-oj.jar: ok
11-27 09:16:38.695 14678 14678 W libc    : Access denied finding property "ro.product.name_for_attestation"
11-27 09:16:38.695 14678 14678 W libc    : Access denied finding property "ro.product.device_for_attestation"
11-27 09:16:38.695 14678 14678 W libc    : Access denied finding property "ro.product.manufacturer_for_attestation"
11-27 09:16:38.695 14678 14678 W libc    : Access denied finding property "ro.product.brand_for_attestation"
11-27 09:16:38.695 14678 14678 W libc    : Access denied finding property "ro.product.model_for_attestation"
11-27 09:16:38.713 14678 14678 E SemDvfsManager_JNI: SemDvfsManager: registerfunction enter
11-27 09:16:38.713 14678 14678 E SemAffinityControl: SemAffinityControl: registerfunction enter
11-27 09:16:38.745 14678 14678 D nativeloader: Load libframework-connectivity-tiramisu-jni.so using APEX ns com_android_tethering for caller /apex/com.android.tethering/javalib/framework-connectivity-t.jar: ok
11-27 09:16:38.745 14678 14678 D AndroidRuntime: Calling main entry com.termux.termuxam.Am
11-27 09:16:38.755 14678 14678 I AconfigPackage: com.android.media.extractor.flags is mapped to com.android.media
11-27 09:16:38.755 14678 14678 I AconfigPackage: com.android.media.mainline.flags is mapped to com.android.media
11-27 09:16:38.756 14678 14678 I AconfigPackage: com.android.os.statsd.flags is mapped to com.android.os.statsd
11-27 09:16:38.756 14678 14678 I AconfigPackage: com.android.settings.flags is mapped to system_ext
11-27 09:16:38.756 14678 14678 I AconfigPackage: com.android.launcher3 is mapped to system_ext
11-27 09:16:38.756 14678 14678 I AconfigPackage: com.android.server.policy.feature.flags is mapped to system_ext
11-27 09:16:38.756 14678 14678 I AconfigPackage: com.android.bluetooth.flags is mapped to com.android.bt
11-27 09:16:38.756 14678 14678 I AconfigPackage: com.android.uwb.flags is mapped to com.android.uwb
11-27 09:16:38.756 14678 14678 I AconfigPackage: com.android.ranging.flags is mapped to com.android.uwb
11-27 09:16:38.757 14678 14678 I AconfigPackage: com.android.appsearch.flags is mapped to com.android.appsearch
11-27 09:16:38.757 14678 14678 I AconfigPackage: android.uprobestats.mainline.flags is mapped to com.android.uprobestats
11-27 09:16:38.757 14678 14678 I AconfigPackage: com.android.rkpd.flags is mapped to com.android.rkpd
11-27 09:16:38.757 14678 14678 I AconfigPackage: android.provider.flags is mapped to com.android.configinfrastructure
11-27 09:16:38.757 14678 14678 I AconfigPackage: com.android.server.deviceconfig is mapped to com.android.configinfrastructure
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.nfc.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.app.admin.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.database.sqlite is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.server.power.feature.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.media.performance.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.app.contextualsearch.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.app.ondeviceintelligence.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.media.projection.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.companion is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.service.controls.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.text.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.providers.contactkeys.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.intentresolver is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.companion.virtualdevice.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.uprobestats.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.net.thread.platform.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.view.contentprotection.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.server.dreams is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.graphics.surfaceflinger.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.hardware.input is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.sdk is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.input.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.tracing is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.server.biometrics is mapped to system
